"Name","Ist ein Unternehmen","Verbundenes Unternehmen","Straße","Straße2","Stadt","PLZ","Land","USt-IdNr.","Telefon","Mobil","E-Mail","Websiten-Link"
"Steiner Mechanik AG","true",,"Hübelstrasse 24",,"Dallenwil",6383,"Schweiz","CHE-150.215.305",,,"kurt.gisler@mint-system.ch",
"Oberflächentechnik GmbH","true",,"Steinerstrasse",,"Brunnen",6440,"Schweiz","CHE-150.209.406",,,"kurt.gisler@mint-system.ch",
"Eisenwaren Huber AG","true",,"Dorfbachstrasse 2",,"Erstfeld",6472,"Schweiz","CHE-150.243.103",,,"kurt.gisler@mint-system.ch",
"Anita Inglin",,,"Hauptplatz 16",,"Niederbipp",4704,"Schweiz",,,,"kurt.gisler@mint-system.ch",
"Velomarkt Plus GmbH","true",,"Dorfplatz 23",,"Stans",6370,"Schweiz","CHE-150.105.566",,,"kurt.gisler@mint-system.ch",
"Metall und Profile GmbH","true",,"Kichgasse 2",,"Hünenberg",6331,"Schweiz","CHE-150.219.127",,,"kurt.gisler@mint-system.ch",
"Fast Bicycle Repair","true",,"5100 Belt Line",,"Dallas","TX 75218","USA - Vereinigte Staaten von Amerika",,,,"kurt.gisler@mint-system.ch",
"Fahrrad-Traum AG","true",,"Liechtensteig 2",,"Würzburg",97070,"Deutschland",,,,"kurt.gisler@mint-system.ch",
"Werner Kopp",,"Oberflächentechnik GmbH",,,,,,,,,"kurt.gisler@mint-system.ch",
"Klingel Textile AG","true",,"In der Höhe 51",,"Wohlen",5610,"Schweiz",,,,"kurt.gisler@mint-system.ch",
